County,Resource Type,Organization,Website,Phone,Address
Schuylkill,Community Organization,New Beginnings,https://www.newbeginningscenters.com/,(856) 378-7830,"1851 West End AvePottsville, PA 17901"
Philadelphia,"Community Organization Other, specify below",New Birth Praise and Worship Christian Church,,(215) 220-0397,"1701 West Lehigh AvePhiladelphia, PA 19132"
Lawrence,Primary Care Physician Office/Health Center,New Castle Primary Care,https://primary-health.net/LocationDetail.aspx?id=6,(724) 658-4564,"1112 S. Mill St.New Castle, PA 16101"
Westmoreland,Secondary Schools,New Kensignton-Arnold School District,https://www.nkasd.com/#,(724) 335-4401,"707 Stevenson Blvd.New Kensington, PA 15068"
Philadelphia,Community Organization,"New Life of Community Health Services, Inc.",,(215) 708-1645,"6722 Bustleton AvenuePhiladelphia, PA 19149"
Philadelphia,Community Organization,Resources for Human Development: New Perspectives,https://www.rhd.org/new-perspectives/,(570) 992-0879,"4700 Wissahickon AvenueSuite #126Philadelphia, PA 19144"
Monroe,Crisis Center/Hospital,New Perspectives Crisis Residence,https://www.rhd.org/program/new-perspectives-crisis-residence/,(570) 992-7590,"140 Neyhart RoadStroudsburg, PA 18360"
Lehigh,Community Organization,New Vitae Wellness and Recovery,https://www.newvitaewellness.com/,(610) 928-5200,"5201 St. Joseph's RoadP.O. Box 1001Limeport, PA 18060"
Mercer,Private Psychiatry Practice,New Wilmington Psychotherapy & Counseling,http://newwilmpsychcounseling.com/,(724) 901-0901,"211 W Neshannock AvenueNew Wilmington, PA 16142"
Butler,Community Organization,NAMI Clarion and Butler Counties,,,"212-214 South Main StreetButler, PA 16001"
Cumberland,Community Organization,NAMI Cumberland and Perry Counties,https://namicppa.org/,(717) 620-9580,"P.O. Box 534Camp Hill, PA 17011"
Dauphin,Community Organization Psychiatric Hospital,Pennsylvania Psychiatric Institute; NAMI Dauphin County,https://www.ppimhs.org/       https://nami-dauphincounty.org/index.html,(717) 233-1164,"2501 North Third StreetHarrisburg, PA 17110"
Delaware,Community Organization,NAMI Delaware County,http://namipadelco.org,(610) 623-0071,"921 Darby Road1st Floorhavertown, PA 19083"
Erie,Community Organization,NAMI Erie County,https://www.namierie.org/,(814) 456-1773,"1611 Peach StreetSuite 218Erie, PA 16501"
Fayette,Community Organization,NAMI Fayette — Mental Health Association in Fayette County,,(724) 438-6738,"100 New Salem RoadUnit 118Uniontown, PA 15401"
Allegheny,Community Organization,NAMI Keystone Pennsylvania,,,"105 Braunlich Dr.#200Pittsburgh, PA 15237"
Lancaster,Community Organization,NAMI Lancaster County,https://www.namikeystonepa.org/discover-nami/find-your-local-nami/lancaster-county-pa/,(717) 871-6205,"790 New Holland AveLancaster, PA 17602"
Lehigh,Community Organization,NAMI Lehigh Valley,https://nami-lv.org/,,"802 W Broad St.Bethlehem, PA 18018"
Luzerne,Community Organization,NAMI Luzerne-Wyoming Counties,http://namiluzernewyomingcounties.org/,,"259 Wyoming AvenueLower LevelKingston, PA 18704"
Lycoming,Community Organization,NAMI Lycoming and Clinton counties,,,"200 East StreetWilliamsport, PA 17701"
Crawford,Community Organization,NAMI Marion-Crawford County; Crawford County Mental Health Awareness Programcccc,https://namimcc.org/       https://chapsinc.org/,(814) 807-9472,"944 Liberty StreetMeadville, PA 16335"
Allegheny,Community Organization,NAMI McKeesport Area,,(412) 366-3788,"4000 University DriveMcKeesport, PA 15132"
Mercer,Community Organization,NAMI Mercer County,,(724) 981-6193,"2201 State StreetHermitage, PA 16148"
Westmoreland,Community Organization,"NAMI Mon Valley, Monessen & Irwin",,(724) 872-2186,"200 E Main StreetWest Newton, PA 15089"
Montgomery,Community Organization,NAMI Montgomery County,https://namimontcopa.org/,(215) 361-7784,"100 W Main StreetSte 204Lansdale, PA 19446"
Lycoming,Community Organization,NAMI North Central PA,https://www.namincpa.org/,(570) 326-7895,"200 East StreetWilliamsport, PA 17701"
Montgomery,Community Organization,"NAMI PA, Main Line",https://namimainlinepa.org/,(267) 251-6240,"320 Woodley RoadMerion Station, PA 19066"
Philadelphia,Community Organization,NAMI Philadelphia,,,"4641 Roosevelt Blvd.Philadelphia, PA 19124"
Schuylkill,Community Organization,NAMI Schuylkill County PA,,(570) 728-1749,"PO Box 1305Pottsville, PA 17901"
Lehigh,College Counseling Center,Muhlenberg College Counseling Services,https://www.muhlenberg.edu/offices/counseling/,(412) 664-3178,"2400 Chew StreetAllentown, PA 18104"
Lehigh,Secondary Schools,Muhlenberg Elementary School,https://muh.allentownsd.org/,(412) 765-4860,"740 N. 21st StreetAllentown, PA 18104"
Lycoming,Secondary Schools,Muncy Junior/ Senior High School,https://www.muncysd.org/muncyjshs,(570) 546-3127,"200 West Penn StreetMuncy, PA 17756"
Philadelphia,Secondary Schools,Murrell Dobbins Vocational School,https://dobbins.philasd.org/,(215) 227-4421,"2150 W Lehigh AvenuePhiladelphia, PA 19132"
Allegheny,Parent Organization Secondary Schools,Myrtle Avenue Elementary School; PFO,https://www.kosd.org/Default.aspx,(412) 571-6000 Ext: 3,"3724 Myrtle AvenuePittsburgh, PA 15234"
Philadelphia,College/University,University of Pennsylvania Department of Psychiatry,,,"University of Pennsylvania Perelman School of Medicine3400 Civic Center Blvd.Philadelphia, PA 19104"
Not in PA,Community Organization,NAACP,,,"4805 Mt. Hope DriveBaltimore, MD 21215"
Lancaster,PHP/IOP,"Naaman Center, Elizabethtown",https://naamancenter.com/contact/,(844) 888-8085,"4600 E Harrisburg PikeElizabethtown, PA 17022-9004"
Lancaster,Private Psychiatry Practice,"Naaman Center, Lancaster (Lime Street Location)",https://naamancenter.com/contact/,(717) 394-5495,"436 N. Lime St.Lancaster, PA 17603"
Lancaster,PHP/IOP,"Naaman Center, Lancaster (Prince Street Location)",https://naamancenter.com/contact/,(844) 888-8085,"210 S. Price St.Lancaster, PA 17603"
Lancaster,PHP/IOP,"Naaman Center, Quarryville",https://naamancenter.com/contact/,(717) 786-1066,"248 Maple AveQuarryville, PA 17566"
Beaver,Community Organization,NAMI Beaver County,https://namibeavercounty.org/,(724) 888-6877,"1229 3rd StreetBeaver, PA 15009"
Berks,Community Organization,NAMI Berks County,http://namiberkspa.org,(610) 685-3000,"640 Centre AvenueReading, PA 19601"
Blair,Community Organization,NAMI Blair County,https://www.namiblaircountypa.org/,(814) 327-7083,"711 9th Ave.Suite 2Altoona, PA 16601"
Bradford,Community Organization,NAMI Bradford/Sullivan Counties,,(570) 415-0100,"307 N Main StAthens, PA 18810"
Bucks,Community Organization,NAMI Bucks County,http://www.namibuckspa.org,(866) 399-6264,"1432 Easton RdSuite 2DWarrington, PA 18976-2852"
Butler,Community Organization,NAMI Butler County,https://namibutler.org/,(724) 431-0069,"220 S. Main StreetSuite 203Butler, PA 16003"
Cambria,Community Organization,NAMI Cambria County,,(717) 238-1514,"2149 2nd StreetHarrisburg, PA 17110"
Centre,Community Organization,NAMI Centre County,,(814) 880-8267,"500 E Marylyn AvenueC-41State College, PA 16801-6279"
Chester,Community Organization,NAMI Chester County,,,"825 Paoli PikeWest Chester, PA 19380"
Philadelphia,College Counseling Center,Moore College of Art and Design Counseling Services,,,"1916 Race StreetStahl HallPhiladelphia, PA 19103"
Allegheny,Secondary Schools,Moore Elementary School,,(412) 881-7776,"2809 Dalewood StreetPittsburgh, PA 15227"
Lehigh,College/University,Moravian College,https://www.moravian.edu/,(610) 861-1320,"1200 Main StreetBethlehem, PA 18018"
Lackawanna,General Hospital,Moses Taylor Hospital,https://www.commonwealthhealth.net/moses-taylor-hospital-commonwealth,(570) 770-5000,"700 Quincy Avenue Scranton, PA 18510"
Allegheny,Secondary Schools,Moss Side Middle School,,(412) 373-5830,"9000 Gateway Campus BoulevardMonroeville, PA 15146"
Lehigh,Secondary Schools,Mosser Elementary School,https://mos.allentownsd.org/,(412) 765-5880,"129 S. Dauphin StreetAllentown, PA 18109"
Philadelphia,Secondary Schools,Motivation HS,https://motivationhs.philasd.org/,(215) 400-7930,"5900 Baltimore AvenuePhiladelphia, PA 19143"
Cambria,College Counseling Center College/University,Mount Aloysius College; Counseling Center,https://www.mtaloy.edu/             https://www.mtaloy.edu/student-life/health-wellness-services/counseling-services/,(888) 823-2220,"7373 Admiral Peary HighwaySt. Joseph's, Room 101Cresson, PA 16630"
Centre,Parent Organization Secondary Schools,Mount Nitany Elementary School; PTO,,(814) 272-5970,"700 Brandywine DriveState College, PA 16801"
Centre,General Hospital,Mount Nittany Medical Center,,,"1800 E. Park AvenueState College, PA 16803"
Centre,Community Organization,Mount Nittany Medical Center (MNMC 3-South),https://www.mountnittany.org,(814) 234-6177,"1800 E Park AveState College, PA 16801"
Centre,Parent Organization Secondary Schools,Mount Nittany Middle School; PTSO,,(814) 272-4050,"656 Brandywine DriveState College, PA 16801"
Westmoreland,Secondary Schools,Mount Pleasant Area School District,https://www.mpasd.net/,(724) 547-4100,"271 State StreetMount Pleasant, PA 15666"
Westmoreland,Secondary Schools,Mount Pleasant Senior High School,,,"265 State StreetMount Pleasant, PA 15666"
Allegheny,Parent Organization Secondary Schools,Mount Vernon Elementary; PTO,,,"2400 Greenock Buena Vista RoadMcKeesport, PA 15135"
Westmoreland,Parent Organization Secondary Schools,Mountain View Elementary School; PTO,https://www.glsd.us/    https://mvespto.com/,(724) 539-4200,"1010 Mountain View DriveGreensburg, PA 15601"
Centre,Parent Organization Secondary Schools,Mountaintop Area Elementary School,,(814) 387-6861,"100 School DriveSnoe Shoe, PA 16874"
Allegheny,Parent Organization,Mt. Lebanon High School,,(412) 344-2003,"155 Cochran RoadPittsburgh, PA 15228"
Allegheny,Secondary Schools,Mt. Lebanon School District,,(412) 344-2000,"7 Horsman DrivePittsburgh, PA 15228"
Lehigh,College/University,Muhlenberg College,https://www.muhlenberg.edu/,(484) 664-3100,"2400 W. Chew StreetAllentown, PA 18104"
Washington,General Hospital,Monongahela Valley Hospital,,,"1163 Country Club RoadMonongahela, PA 15063"
Monroe,Secondary Schools,Monroe Career and Technical Institute,,,"194 Laurel Lake Rd.Bartonsville, PA 18321"
Monroe,Primary Care Physician Office/Health Center,Monroe County,,(570) 424-3020,"1972 W. Main St.Suite 102Stroudsburg, PA 18360"
Monroe,Government Agency,Monroe County Assistance Office,,,"1972 W Main St.#101Stroudsburg, PA 18360"
Monroe,Community Organization,Monroe County Office of Children & Youth,,,"730 Phillips St.Stroudsburg, PA 18360"
Monroe,Community Organization,Monroe County Career Link,,,"2937 Rt. 611Tannersville, PA 18372"
Carbon,Community Organization,Monroe County Drug and Alcohol,https://www.cmpda.cog.pa.us/,,"430 South 7th StreetLehighton, PA 18235"
Allegheny,Parent Organization,Montessori PreK-5 PTA,,(412) 529-2010,"201 S Graham StPittsburgh, PA 15206"
Montgomery,College/University,Montgomery County Community College – Blue Bell Campus,https://www.mc3.edu/,(215) 641-6300,"340 DeKalb PikeBlue Bell, PA 19422"
Montgomery,College/University,Montgomery County Community College – Pottstown Campus,https://www.mc3.edu/,(610) 718-1800,"101 College DrivePottstown, PA 19464"
Montgomery,College/University,Montgomery County Community College – The Culinary Arts Institute,https://www.mc3.edu/,(267) 646-5970,"1400 Forty Foot RoadLansdale, PA 19446"
Montgomery,Psychiatric Hospital,Montgomery County Emergency Service,http://www.mces.org/,(610) 279-6100,"50 Beech DriveNorristown, PA 19403"
Montgomery,Primary Care Physician Office/Health Center,Montgomery County Health Department,,(610) 278-5117,"1430 DeKalb St.P.O. Box 311Norristown, PA 19404"
Montour,Primary Care Physician Office/Health Center,Montour County,,(570) 275-7092,"489 Church St.Danville, PA 17821"
Allegheny,Parent Organization,Montour Elementary School PTA,https://www.montourschools.com/,,"221 Clever RoadMckees Rocks, PA 15136"
Allegheny,Secondary Schools,Montour School District,https://www.montourschools.com/,(412) 490-6500,"225 Clever RoadMckees Rocks, PA 15136"
Lycoming,Secondary Schools,Montoursville Area High School,https://www.montoursville.k12.pa.us/schools/montoursville-high-school/,(570) 368-2611,"700 Mulberry StreetMontoursville, PA 17754"
Allegheny,Parent Organization,Moon Area Middle School PTG,,(412) 264-9440 Ext: 3000,"904 Beaver Grade RoadMoon Township, PA 15108"
Allegheny,Parent Organization Secondary Schools,Moon Area School District; Moon Area High School; PTO,https://www.moonarea.net/,(412) 264-9440,"8353 University BoulevardMoon Township, PA 15108"
Philadelphia,College/University,Moore College of Art & Design,https://moore.edu/,(215) 965-4000,"20th and the ParkwayPhiladelphia, PA 19103"
Westmoreland,Secondary Schools,Monessen Middle/High School,,,"1245 State Rd,Monessen, PA 15062"
Snyder,Secondary Schools,Midd-West High School,https://www.mwsd.cc/o/mwhs,(570) 837-0046,"540 East Main StreetMiddleburg, PA 17842"
Mifflin,Primary Care Physician Office/Health Center,Mifflin County,,(717) 242-1452,"21 S. Brown St.Suite 2ALewistown, PA 17044"
Mifflin,Secondary Schools,Mifflin County High School,https://www.mcsdk12.org/mchs/,(717) 242-0240,"501 6th StreetLewistown, PA 17044"
Allegheny,Parent Organization,Mifflin PreK-8 PTA,,(412) 529-4350,"1290 Mifflin RdPittsburgh, PA 15207"
Centre,Parent Organization Secondary Schools,Miles Township Elementary; PTG,https://mte.pennsvalley.org/,(814) 422-2006,"80 Town LaneRebersburg, PA 16872"
Pike,Primary Care Physician Office/Health Center,Milford Family Practice,,,"111 East Catherine StreetSuite 210Milford, PA 18337"
Pike,Primary Care Physician Office/Health Center,Milford Health & Wellness,https://www.atlantichealth.org/locations/outpatient-centers/milford-health-wellness.html,(570) 409-8484,"111 East Catharine StreetSuite 120Milford, PA 18337"
Philadelphia,Community Organization,Mill Creek School,,(215) 471-4900,"111 N 48th StreetPhiladelphia, PA 19139"
Clinton,Parent Organization Secondary Schools,Mill Hall Elementary School; PTO,,(570) 893-4900,"210 Kyler AvenueMill Hall, PA 17751"
Lancaster,College/University,Millersville University of Pennsylvania,https://www.millersville.edu/,(717) 871-4636,"1 S George StMillersville, PA 17551"
Northumberland,Secondary Schools,Milton High School,https://www.milton.k12.pa.us/schools/high-school/,(570) 742-7614,"700 Mahoning StreetMilton, PA 17847"
Allegheny,Parent Organization,Minadeo PreK-5 PTA,https://www.facebook.com/MinadeoPTO/,(412) 529-4035,"6502 Lilac StPittsburgh, PA 15217"
Delaware,PHP/IOP,Mirmont Treatment Center,,(412) 227-1453,"100 Yearsley Mill RoadMedia, PA 19063"
Luzerne,College/University,Misericordia University,https://www.misericordia.edu/,(570) 674-6400,"301 Lake StreetDallas, PA 18612"
Philadelphia,College/University,Misso Seminary,https://missio.edu/,(215) 368-5000,"421 N. 7th StSuite 700Philadelphia, PA 19123"
Lawrence,Private Psychiatry Practice,"Mohwak Counseling Services, LLC",https://mohawkcounseling.com/,(724) 699-1543,"523 A Mt. Jackson Rd.New Castle, PA 16102"
Franklin,Private Psychiatry Practice,"Momentum Services, LLC",https://www.mymomentumservices.com/,(717) 262-2183,"50 Parkwood DriveChambersburg, PA 17201"
Westmoreland,Secondary Schools,Monessen City School District; Monessen Elementary Center,https://www.monessenschooldistrict.com/,(724) 684-3600,"1275 Rostraver StreetMonessen, PA 15062"
Westmoreland,Secondary Schools,Monessen Middle/High School,https://www.monessenschooldistrict.com/,(724) 684-7100,"1245 State RoadMonessen, PA 15062"
Centre,Community Organization,Merakey,,(814) 237-2870,"1400 Fox Hill RdState College, PA 16801"
Philadelphia,Community Organization,Merakey Philadelphia (formerly NHS Human Services),,(215) 632-9040,"11082 Knights RoadPhiladelphia, PA 19154"
Mifflin,Community Organization,"Merakey, Yeagertown office",https://www.merakey.org/,(717) 248-8540,"25 Rothermel DriveYeagertown, PA 17099"
Mercer,Secondary Schools,Mercer Area Middle/ High School,https://www.mercer.k12.pa.us/domain/159,(724) 662-5104,"545 W. Butler StreetMercer, PA 16137"
Mercer,Primary Care Physician Office/Health Center,Mercer County,,(724) 662-4000,"25 McQuiston DriveJackson Center, PA 16133"
Mercer,Community Organization,Mercer County Behavioral Health Commission,http://www.mercercountybhc.org/,(724) 662-1550,"8406 Sharon-Mercer RoadMercer, PA 16137-3138"
Philadelphia,Secondary Schools,Mercy Career & Technical,https://www.mercycte.org/,(215) 226-1225,"2900 W Hunting Park AvenuePhiladelphia, PA 19129"
Philadelphia,Crisis Center/Hospital,Mercy Catholic Medical Center,,(215) 748-9000,"501 S 54th StreetPhiladelphia, PA 19143"
Philadelphia,General Hospital,Mercy Fitzgerald Hospital,,,"1500 Lansdowne Ave.Darby, PA 19023"
Philadelphia,General Hospital,Hospital of the University of Pennsylvania- Cedar Avenue,,,"501 S 54th St.Philadelphia, PA 19143"
Erie,College/University,Mercyhurst University,https://www.mercyhurst.edu/,(814) 824-2000,"501 East 38th StreetErie, PA 16546"
Erie,College Counseling Center,Mercyhurst University Counseling Center,https://www.mercyhurst.edu/campus-life/counseling-center,(814) 824-3650,"4118 Briggs AvenueErie, PA 16546"
Lehigh,Primary Care Physician Office/Health Center,Meribah Clinic,https://www.meribahclinic.com,(610) 351-0419,"1005 N. Brookside RoadSuite 240 Allentown, PA 18106"
Cumberland,College/University,Messiah University,,,"1 College AvenueMechanicsburg, PA 17055"
Allegheny,Primary Care Physician Office/Health Center,Metro Community Health Center,https://metrocommunityhealthcenter.org/,(412) 247-2310,"1789 South Braddock AvenueSuite 410Pittsburgh, PA 15218"
Somerset,Secondary Schools,Meyersdale Area High School,https://www.masd.net/Domain/33,(814) 634-1437,"1349 Shaw Mines RoadMeyersdale, PA 15552"
Monroe,Community Organization,Carbon-Monroe-Pike Mental Health & Developmental Services,,,"724 Phillips StreetSuite 202Stroudsburg, PA 18360"
Philadelphia,Crisis Center/Hospital,Michael Crescenz VA Medical Center,,(215) 823-5800,"3900 Woodland AvenuePhiladelphia, PA 19104"
Monroe,Secondary Schools,Middle Smithfield Elementary School,,(570) 223-8082,"5180 Milford RoadEast Stroudsburg, PA 18301"
Monroe,Parent Organization,Middle Smithfield Elementary School PTO,,(570) 223-8082,"5180 Milford RoadEast Stroudsburg, PA 18301"
Crawford,Primary Care Physician Office/Health Center,Meadville Medical Center,https://www.mmchs.org/,(814) 333-5000,"751 Liberty StreetMeadville, PA 16335"
Philadelphia,Community Organization,Mednet Healthcare Non-Profit Outpatient Clinic,,(215) 294-6790,"9150 Marshall StreetSuite 5Philadelphia, PA 19114"
Allegheny,Parent Organization,Mellon Middle School,,(412) 344-2122,"11 Castle Shannon BlvdPittsburgh, PA 15228"
Allegheny,Parent Organization,Memorial Elementary School,https://memorial.memberhub.com/w/,(412) 854-8506,"3301 South Park RoadBethel Park, PA 15102"
Westmoreland,Parent Organization Secondary Schools,Mendon Elementary School; PTO,https://www.youghsd.net/,(724) 872-6484,"164 Route 31Ruffsdale, PA 15679"
Philadelphia,Community Organization,Men’s Resource Center,,(215) 564-0488,"1601 Walnut StreetSuite 1017Philadelphia, PA 19102"
Lancaster,Community Organization,Mental Health America of Lancaster County,https://mhalancaster.org/,(717) 397-7461,"245 Butler AvenueSuite 204Lancaster, PA 17601-4585"
Westmoreland,Community Organization,Mental Health America of Soutwestern PA,https://mhaswpa.org/contact-us/,(724) 834-6351,"409 Coulter AveSuite 4Greensburg, PA 15601-5445"
Adams,Community Organization,Mental Health America of York and Adams Counties,http://www.mhay.org/contact-us.html,(717) 339-0511,"304 York StreetSuite FGettysburg, PA 17325"
York,Community Organization,Mental Health America of York and Adams Counties,http://www.mhay.org/contact-us.html,(717) 843-6973,"36 South Queen StreetYork, PA 17403"
Beaver,Community Organization,Mental Health Association in Beaver County,https://www.mhabc.org/,(724) 775-4165,"105 Brighton AvenueRochester, PA 15074"
Butler,Community Organization Primary Care Physician Office/Health Center,"Mental Health Association in Butler County; Grapevine Center, Inc.",http://www.mhabutler.org/      https://grapevinecenter.org/,(888) 329-0468,"140 North Elm StreetButler, PA 16001"
Fayette,Community Organization Primary Care Physician Office/Health Center,"Mental Health Association in Fayette County; Fayette County State Health Center; Chestnut Ridge Counseling Services, Inc., Uniontown Office",http://www.mhafayette.org/     https://www.crcsi.org/locations/uniontown/,(724) 439-7400,"100 New Salem RoadSuite 102Uniontown, PA 15401"
Franklin,Community Organization,Mental Health Association of Franklin and Fulton Counties,https://mhaff.org/,(717) 264-4301,"478 Grant StreetChambersburg, PA 17201"
Erie,Community Organization,Mental Health Association of Northwestern Pennsylvania,https://mhanp.org/index.php,(800) 640-7961,"1101 Peach StreetErie, PA 16501-1839"
Washington,Community Organization,Mental Health Association of Washington County,http://mhawashcopa.org/,(724) 225-2061,"71 North Main StreetSTE 101 Lower LevelWashington, PA 15301"
Philadelphia,Community Organization,Mental Health Partnerships,https://www.mentalhealthpartnerships.org/contact,(215) 751-1800,"833 Chestnut StreetSuite 1100Philadelphia, PA 19107"
Philadelphia,Community Organization,Mental Health Partnerships,,(215) 751-1800,"1211 Chestnut StreetSuite 1100Philadelphia, PA 19107"
Lycoming,Community Organization,Merakey,https://www.merakey.org/,(570) 320-2816,"1990 W. Third StreetWilliamsport, PA 17701"
Monroe,Community Organization,Merakey,https://www.merakey.org/services,(570) 424-9229,"912 Main St.Stroudsburg, PA 18360"
Philadelphia,Secondary Schools,"Mathematics, Civics and Sciences Charter",http://mcscs.org/,(215) 923-4880,"447 N Broad StreetPhiladelphia, PA 19123"
Westmoreland,Secondary Schools,Maxwell Elementary School,https://max.hasdpa.net/,(724) 850-3500,"1101 Old Salem RoadGreensburg, PA 15601"
Philadelphia,Community Organization PHP/IOP,Mazzoni Center; Mazzoni Center IOP,,(215) 563-0652,"1348 Bainbridge StreetPhiladelphia, PA 19147"
Schuylkill,Secondary Schools,McAdoo Kelayres Elementary/Middle School,,(570) 459-3221,"15 Kelayres RoadMcAdoo, PA 18237"
Allegheny,Parent Organization,McClellan Elementary,https://www.facebook.com/mcclellanpta/,(412) 655-2700,"360 School LanePittsburgh, PA 15236"
Fulton,Secondary Schools,McConnellsburg Middle/High School,https://www.cfsd.info/1/Home,(717) 485-3195,"151 E. Cherry StreetMcConnellsburg, PA 17233"
Westmoreland,Parent Organization Secondary Schools,McCullough Elementary School; PTO,https://mc.penntrafford.org/   https://www.facebook.com/groups/162897797898913,(724) 744-7441,"213 Watt RoadJeannette, PA 15644"
Erie,Secondary Schools,McDowell High School,,,"3580 West 38th StreetErie, PA 16506"
Erie,Secondary Schools,McDowell Senior High School,https://mcd.mtsd.org,(814) 835-5403,"3580 West 38th StreetErie, PA 16506"
Centre,Private Psychiatry Practice,McGinnis Counseling,,,"921 Pike St.#203Lemont, PA 16851"
Washington,Secondary Schools,McGuffey High School,https://www.mcguffey.k12.pa.us/mcguffeyhighschool_home.aspx,(724) 948-3328,"86 McGuffey DriveClaysville, PA 15323"
Allegheny,Parent Organization,McIntyre Elementary School PTSO,,(412) 318-1622,"200 McIntyre RoadPittsburgh, PA 15237"
McKean,Primary Care Physician Office/Health Center,McKean County,,(814) 368-0426,"84-90 Boylston St.Gleason Building,  P.O. Box 160Bradford, PA 16701-2011"
Butler,Private Psychiatry Practice,McKee Counseling Services,https://www.mckeecounseling.com/,(724) 234-3652,"128 N. Washington St.Butler, PA 16001"
Allegheny,Parent Organization,McKee Elementary School PTA,https://www.mckeepta.com/,(724) 693-8451,"1501 Oakdale RoadOakdale, PA 15071"
Allegheny,Secondary Schools,McKeesport Area School District High School; McKeesport Area School District,https://www.mckasd.net/#calendar1/20221017/month,(412) 664-3600,"3590 O'Neil BoulevardMcKeesport, PA 15132"
Allegheny,Secondary Schools,McKeesport High School,,,"3590 O'Neil BoulevardMcKeesport, PA 15132"
Allegheny,Parent Organization,McKnight Elementary PFA,https://mcknightpfa.membershiptoolkit.com/story/297811,(412) 635-4105,"500 Cumberland RoadPittsburgh, PA 15237"
Crawford,Primary Care Physician Office/Health Center,Meadville Behavioral Health Services,https://www.mmchs.org/Services/Behavioral-Health-Services.aspx,(814) 373-5266,"640 Alden StreetMeadville, PA 16335"
Crawford,General Hospital,Meadville Medical Center,,,"751 Liberty StreetMeadville, PA 16335"
Chester,PHP/IOP,Malvern Treatment Center,,(610) 625-8376,"940 W King RoadMalvern, PA 19355"
Montgomery,College Counseling Center,Manor College Counseling Services,,,"700 Fox Chase RoadAcademic Building, 2nd FloorJenkintown, PA 19046"
Tioga,College/University,Mansfield University of Pennsylvania,https://www.mansfield.edu/,(570) 662-4000,"75 S Academy StMansfield, PA 16933"
Luzerne,Secondary Schools,Maple Manor Elementary/Middle School,,(570) 459-3221,"1700 West 22nd StreetHazle Township, PA 18202"
Philadelphia,Community Organization,Maria de los Santos Health Center,,(215) 291-2500,"401 West Allegheny AvenuePhiladelphia, PA 19133"
Centre,Parent Organization Secondary Schools,Marion-Walker Elementary School; PTO,,(814) 357-2425,"100 School DriveBellefonte, PA 16823"
Butler,PHP/IOP,Mars Home for Youth,https://mhyfamilyservices.org/,(724) 625-3141,"521 Route 228Mars, PA 16046"
Allegheny,Parent Organization,Marshall Elementary PFA,https://marshallpfa.membershiptoolkit.com/login-form?r=%2F,(724) 935-4044,"5135 Wexford Run RoadWexford, PA 15090"
Westmoreland,Secondary Schools,Martin Elementary (Prek-K),https://mes.nkasd.com/,(724) 335-4401,"1800 7th St RoadNew Kensington, PA 15068"
Philadelphia,Secondary Schools,Martin Luther King HS,https://mlkhs.philasd.org/,(215) 400-3500,"6100 Stenton AvenuePhiladelphia, PA 19138"
Centre,Private Psychiatry Practice,"Mary Ann Gastiger, MSW",,,"270 Walker DriveSuite 108aState College, PA 16801"
Lackawanna,College/University,Marywood University,https://www.marywood.edu/,(570) 348-6211,"2300 Adams AvenueScranton, PA 18509"
Allegheny,Parent Organization,Marzolf Primary School PTO,,(412) 492-1200 Ext: 6500,"101 Marzolf Road Ext.Pittsburgh, PA 15209"
Philadelphia,Secondary Schools,MaST Community Charter School,https://mastccs.org/,(267) 348-1100,"1800 E. Byberry RoadPhiladelphia, PA 19116"
Philadelphia,Secondary Schools,Mastery Charter Hardy Williams HS,https://www.masterycharter.org/hardyhigh,(267) 499-2100,"5400 Warrington AvenuePhiladelphia, PA 19143"
Philadelphia,Secondary Schools,Mastery Charter Lenfest Campus,https://www.masterycharter.org/lenfest,(215) 922-1902,"35 S 4th StreetPhiladelphia, PA 19106"
Philadelphia,Secondary Schools,Mastery Charter Pickett Campus,https://www.masterycharter.org/pickett,(215) 866-9000,"5700 Wayne AvenuePhiladelphia, PA 19144"
Philadelphia,Secondary Schools,Mastery Charter Shoemaker Campus,https://www.masterycharter.org/shoemaker,(267) 296-7111,"5301 Media StreetPhiladelphia, PA 19131"
Philadelphia,Secondary Schools,Mastery Charter Simon Gratz,https://www.masterycharter.org/gratz,(215) 227-4408,"1798 W Hunting Park AvenuePhiladelphia, PA 19140"
Philadelphia,Secondary Schools,Mastery Charter Thomas High Campus,https://www.masterycharter.org/thomascampus,(267) 236-0036,"927 Johnston StreetPhiladelphia, PA 19148"
Philadelphia,Community Organization,Lutheran Settlement House,,(215) 426-8610,"1340 Frankford AvenuePhiladelphia, PA 19125"
Adams,College/University,Lutheran Theological Seminary at Gettysburg,https://www.unitedlutheranseminary.edu/,(717) 338-3000,"61 Seminary RidgeGettysburg, PA 17325"
Philadelphia,College/University,Lutheran Theological Seminary at Philadelphia,https://www.unitedlutheranseminary.edu/,(717) 338-3000,"7301 Germantown AvenuePhiladelphia, PA 19119"
Luzerne,College/University,Luzerne County Community College,https://www.luzerne.edu/default.jsp,(800) 377-5222,"521 Trailblazer DriveNanticoke, PA 18634-3899"
Luzerne,Primary Care Physician Office/Health Center,Luzerne County State Health Center,,(570) 826-2071,"142 Mundy StreetWilkes-Barre, PA 18702"
Luzerne,Government Agency,Luzerne/Wyoming County MH/Developmental Services Program,,,"111 North Pennsylvania BoulevardWilkes-Barre, PA 18701"
