County,Resource Type,Organization,Website,Phone,Address,Generated Description
Allegheny,Secondary Schools,McKeesport Area School District High School; McKeesport Area School District,https://www.mckasd.net/#calendar1/20221017/month,(412) 664-3600,"3590 O'Neil BoulevardMcKeesport, PA 15132","The McKeesport Area School District High School is committed to providing a supportive environment for students in grades 9-12. It features a Comprehensive K-12 Guidance Plan to aid academic success and emotional well-being, along with resources for Special Education. The school promotes extracurricular engagement through various athletic programs and clubs, fostering healthy development and community involvement. Additionally, the district implements federal programs like Title I and 21st CCLC Afterschool Programs to ensure equitable educational opportunities. The focus on career readiness and technology integration prepares students for future challenges, emphasizing personal responsibility and lifelong learning."
Allegheny,Secondary Schools,McKeesport High School,,,"3590 O'Neil BoulevardMcKeesport, PA 15132","McKeesport Area High School, located in McKeesport, Pennsylvania, serves grades 9-12 and offers a robust educational environment with a diverse range of academic and vocational programs, including Culinary Arts, Cosmetology, and Engineering Technology. As a member of the Public Education Network, it emphasizes comprehensive learning alongside extracurricular activities such as sports, clubs, and arts. The school's facilities boast updated classrooms, vocational labs, and a gymnasium. With a focus on student support and community engagement, McKeesport High aims to foster both academic and personal growth among its students."
Allegheny,Parent Organization,McKnight Elementary PFA,https://mcknightpfa.membershiptoolkit.com/story/297811,(412) 635-4105,"500 Cumberland RoadPittsburgh, PA 15237","The McKnight Elementary PFA offers comprehensive school counseling services focused on supporting students' academic, social, and personal development. The team provides individual and small group counseling, classroom guidance lessons, and responsive services throughout the school year. They also facilitate gifted referrals by reviewing test scores and student progress. Parents can seek assistance regarding their children's education and adjustment to school, ensuring a supportive environment for every student at McKnight Elementary."
Crawford,Primary Care Physician Office/Health Center,Meadville Behavioral Health Services,https://www.mmchs.org/Services/Behavioral-Health-Services.aspx,(814) 373-5266,"640 Alden StreetMeadville, PA 16335","Meadville Behavioral Health Services, located at 640 Alden Street, offers comprehensive mental health care in a supportive environment for individuals of all ages. Services include individual, family, and group therapy, medication management, and psychosocial assessments. Specialized care targets mood, anxiety, psychotic, and personality disorders, among others. The facility features an inpatient unit for short-term hospitalization, with a focus on holistic treatment and family involvement. They accept various insurances and provide a sliding fee scale for uninsured patients, ensuring accessible care for all."
Crawford,General Hospital,Meadville Medical Center,,,"751 Liberty StreetMeadville, PA 16335","Meadville Medical Center offers comprehensive behavioral health services for all ages, including individualized therapy and medication management. They provide treatment for conditions such as mood and anxiety disorders, ADHD, and more. Services include individual and family therapy, group psychotherapy, and psychosocial assessments, with a mobile psychiatric nursing program available. The Inpatient Mental Health Unit ensures a structured and supportive environment for short-term hospitalization. Their holistic approach addresses both medical and psychological needs, fostering rehabilitation and family involvement to enhance recovery. They accept most insurances and offer a sliding fee scale for uninsured patients."
Chester,PHP/IOP,Malvern Treatment Center,,(610) 625-8376,"940 W King RoadMalvern, PA 19355","Malvern Treatment Center, located in Malvern, PA, provides comprehensive addiction treatment across its 8-acre campus. It features 59 residential beds and 21 detox beds, offering a range of programs including detoxification, inpatient treatment, and medication-assisted therapy. Specialized programs cater to young adults and women. The center emphasizes patient-centered care, co-occurring disorder management, and robust aftercare support. Additional resources include family services, community support, educational articles, and events to foster recovery. Malvern aims to ensure compassionate, respectful care for all individuals seeking recovery from chemical dependency."
Montgomery,College Counseling Center,Manor College Counseling Services,,,"700 Fox Chase RoadAcademic Building, 2nd FloorJenkintown, PA 19046","Manor College Counseling Services, located at 700 Fox Chase Road in Jenkintown, PA, offers free personal counseling to support students' psychological and social well-being. The Counseling Center provides services including supportive counseling, community resource referrals, and specialized counseling groups on stress management, relaxation techniques, assertiveness training, and time management. Strict confidentiality is maintained, ensuring that services do not impact academic records. Students can request appointments via email or during office hours. The center is open daily during the academic year, with limited availability during summer sessions."
Tioga,College/University,Mansfield University of Pennsylvania,https://www.mansfield.edu/,(570) 662-4000,"75 S Academy StMansfield, PA 16933","Mansfield University of Pennsylvania, located at 75 S Academy St, offers a supportive environment focusing on academic and experiential learning. The campus features vibrant activities, diverse clubs, and a strong commitment to diversity and inclusion. Students benefit from various programs, including internships and research opportunities, especially in fields like psychology and social work. The university emphasizes wellness through fitness and recreation facilities, as well as counseling services. With a 97% career outcomes rate, it prepares graduates for employment or further education, fostering a close-knit community that encourages personal and academic growth."
Luzerne,Secondary Schools,Maple Manor Elementary/Middle School,,(570) 459-3221,"1700 West 22nd StreetHazle Township, PA 18202","Maple Manor Elementary/Middle School, located at 1700 West 22nd Street, Hazle Township, PA, focuses on academic excellence and holistic student support. The school offers a range of programs including guidance services, extracurricular clubs, and community service opportunities. Emphasizing mental wellness, it features initiatives like A.R.M.O.R. and kNOw Bullying. Students can engage in various activities such as band, sports, and student council, promoting social skills and teamwork. The institution encourages parent engagement through programs like Read Across America, fostering a supportive community for both students and families."
Philadelphia,Community Organization,Maria de los Santos Health Center,,(215) 291-2500,"401 West Allegheny AvenuePhiladelphia, PA 19133","Maria de los Santos Health Center, located at 401 West Allegheny Avenue in Philadelphia, PA, is a comprehensive healthcare facility serving the Latino community. Established by Delaware Valley Community Health, it offers a range of services including adult and family medicine, behavioral health services, dental care, prenatal care, pediatrics, and more. The center also provides support for health insurance enrollment, HIV services, and care coordination. Open Monday to Friday, it aims to deliver high-quality primary healthcare in a state-of-the-art environment, ensuring accessible care to all underserved populations."
Centre,Parent Organization Secondary Schools,Marion-Walker Elementary School; PTO,,(814) 357-2425,"100 School DriveBellefonte, PA 16823","Marion-Walker Elementary School PTO in Bellefonte, PA, serves as a vital community hub, supporting students’ mental health and well-being. The PTO organizes events aimed at fostering a positive school environment and promoting parental involvement. They provide resources and activities focused on social-emotional learning and engage families in workshops addressing mental health issues. By encouraging collaboration between parents, teachers, and students, the PTO aims to create a supportive atmosphere that enhances educational and emotional outcomes for children."
Butler,PHP/IOP,Mars Home for Youth,https://mhyfamilyservices.org/,(724) 625-3141,"521 Route 228Mars, PA 16046","Mars Home for Youth (MHY Family Services) in Pennsylvania provides a therapeutic environment for youth and families, offering individualized education and community services. Key programs include Multisystemic Therapy for behavioral health, High Fidelity Wraparound, and school-based support. The Longmore Academy features specialized classes, including support for students with autism. MHY emphasizes trauma-informed care, skill-building, and community engagement, aiming to empower youths to cope effectively with challenges. Employment and volunteer opportunities are available for those looking to contribute to the mission of fostering resilience and healing within the community."
Allegheny,Parent Organization,Marshall Elementary PFA,https://marshallpfa.membershiptoolkit.com/login-form?r=%2F,(724) 935-4044,"5135 Wexford Run RoadWexford, PA 15090","Marshall Elementary PFA is the Parent Faculty Association for Marshall Elementary School in Wexford, PA. The organization focuses on enhancing student experiences through various programs and events, including community engagement activities like Family Bingo Night, educational initiatives such as Wonder Math, and fundraising efforts like sales of spiritwear and yearbooks. The PFA also organizes special events like Tie-Dye Day and Spring Picture Day. Membership access is available via the Membership Toolkit platform, facilitating participation in these supportive initiatives for the school community."
Westmoreland,Secondary Schools,Martin Elementary (Prek-K),https://mes.nkasd.com/,(724) 335-4401,"1800 7th St RoadNew Kensington, PA 15068","Martin Elementary School, located in New Kensington, PA, serves Pre-K to Kindergarten students, focusing on empowering each child to reach their individual potential. The school promotes a nurturing environment that values respect, lifelong learning, and diversity. With personalized instruction and innovative technology, Martin Elementary is part of the New Kensington-Arnold School District’s mission to prepare students as successful citizens. It offers various educational programs and support services, as well as engaging community events to foster student and family involvement. The school emphasizes academic achievement while ensuring a safe and inviting atmosphere for all."
Philadelphia,Secondary Schools,Martin Luther King HS,https://mlkhs.philasd.org/,(215) 400-3500,"6100 Stenton AvenuePhiladelphia, PA 19138","Martin Luther King High School, located in Philadelphia, serves grades 9-12 and emphasizes the importance of daily attendance for academic and social-emotional success. The school operates from 7:30 AM to 2:34 PM, adhering to Pennsylvania's compulsory attendance laws. Under Principal Keisha Q. Wilkins, MLK High promotes a nurturing environment aimed at fostering lifelong learning. Additionally, it is identified as a Technology Support Center, providing resources such as Chromebooks for students. The school actively engages families through information sessions and encourages parental involvement in supporting student attendance."
Centre,Private Psychiatry Practice,"Mary Ann Gastiger, MSW",,,"270 Walker DriveSuite 108aState College, PA 16801","Mary Ann Gastiger, MSW, LCSW, CCTP, offers specialized clinical social work and therapy services in State College, PA. With over 30 years of experience, she focuses on trauma, PTSD, anxiety, and depression, working with individuals, couples, and families. Her approach combines various therapeutic methods, including Cognitive Behavioral Therapy and Trauma-Focused Therapy. Sessions are available in-person and online, with fees starting at $90. Insurance is accepted for several providers. While currently not accepting new clients, her extensive background makes her a valuable resource for those seeking relief from emotional distress."
Lackawanna,College/University,Marywood University,https://www.marywood.edu/,(570) 348-6211,"2300 Adams AvenueScranton, PA 18509","Marywood University, located in Scranton, PA, offers a comprehensive range of mental health support through its Health & Wellness Clinics. These services include counseling and psychological support for students, focusing on mental well-being and academic success. The university fosters a caring community, emphasizing inclusivity and support for mental health needs. Additionally, Marywood promotes wellness through various resources including academic success centers and student events, integrating mental health awareness into campus life. With a commitment to faith and service, Marywood provides an environment conducive to personal growth and emotional support for its students."
Allegheny,Parent Organization,Marzolf Primary School PTO,,(412) 492-1200 Ext: 6500,"101 Marzolf Road Ext.Pittsburgh, PA 15209","Marzolf Primary School PTO, located in Pittsburgh, PA, actively supports the educational community by enhancing student learning through collaborative efforts between parents, teachers, and administration. The PTO organizes various events and activities that promote school spirit, culture, and engagement among families. They play a crucial role in fundraising to provide resources for the school, ensuring a dynamic learning environment for students. The PTO addresses academic and social needs while fostering a supportive community, making Marzolf a welcoming place for students and their families."
Philadelphia,Secondary Schools,MaST Community Charter School,https://mastccs.org/,(267) 348-1100,"1800 E. Byberry RoadPhiladelphia, PA 19116","MaST Community Charter School, located in Philadelphia, PA, offers a comprehensive range of support services aimed at enhancing student well-being and academic success. Key resources include counseling services for mental health support, provisions for homeless or displaced students under the McKinney-Vento Act, and a focus on inclusivity for families. The school promotes community involvement through the Association of MaST Parents and volunteer opportunities. Additional resources include a family handbook, food services, and athletics programs, all contributing to a supportive educational environment aligned with the school’s mission."
Philadelphia,Secondary Schools,Mastery Charter Hardy Williams HS,https://www.masterycharter.org/hardyhigh,(267) 499-2100,"5400 Warrington AvenuePhiladelphia, PA 19143","Mastery Charter Hardy Williams High School, located in Southwest Philadelphia, serves students in grades 7-12 with a free public charter education focused on academic excellence. The school offers a robust curriculum, including AP classes and dual enrollment opportunities, and a unique internship program for sophomores. Students can engage in various extracurricular activities and sports, promoting holistic development. Specialized services cater to individual needs, alongside comprehensive emotional support and counseling. The school prioritizes a supportive environment under high expectations, ensuring students are prepared for college and career pathways."
Philadelphia,Secondary Schools,Mastery Charter Lenfest Campus,https://www.masterycharter.org/lenfest,(215) 922-1902,"35 S 4th StreetPhiladelphia, PA 19106","Mastery Charter Lenfest Campus, located at 35 S 4th Street in Philadelphia, serves grades 7-12, offering a free, public charter education. The school emphasizes academic rigor with varied courses, including AP classes and a dual enrollment program for college credit. Students participate in internships and receive comprehensive special education services. Extracurricular activities, including athletics, art, and various clubs, enhance student life. The campus fosters a supportive environment aimed at helping all students thrive and prepare for their future paths, whether in higher education or the workforce."
Philadelphia,Secondary Schools,Mastery Charter Pickett Campus,https://www.masterycharter.org/pickett,(215) 866-9000,"5700 Wayne AvenuePhiladelphia, PA 19144","Mastery Charter Pickett Campus, located in Germantown, Philadelphia, is a free public charter school serving grades 6-12. Known for its strong community and safe environment, the school emphasizes academic rigor with varied course offerings, including AP classes and comprehensive college and career readiness programs. Specialized services support students with individual needs, while extracurricular activities and athletics enhance student life. The campus features the state-of-the-art Mastery North Athletic Complex. Pickett fosters an empowering atmosphere where all students are encouraged to discover and pursue their greatness."
Philadelphia,Secondary Schools,Mastery Charter Shoemaker Campus,https://www.masterycharter.org/shoemaker,(267) 296-7111,"5301 Media StreetPhiladelphia, PA 19131","Mastery Charter Shoemaker Campus, located in West Philadelphia, serves grades 7-12 and emphasizes a rigorous academic curriculum alongside extracurricular activities. The school offers dual enrollment, specialized services, and career preparation programs, including job shadows and a partnership with UPenn’s medicine program. Students benefit from comprehensive special education programming, emotional support services, and diverse extracurricular options ranging from sports to clubs. Rooted in high expectations and community engagement, Shoemaker fosters an environment for personal and academic growth, helping students define their pathways to success."
Philadelphia,Secondary Schools,Mastery Charter Simon Gratz,https://www.masterycharter.org/gratz,(215) 227-4408,"1798 W Hunting Park AvenuePhiladelphia, PA 19140","Mastery Charter Simon Gratz, located at 1798 W Hunting Park Avenue, Philadelphia, PA, serves grades 9-12 and focuses on academic excellence and student development. The school offers a comprehensive academic program, career and technical education, and college and career readiness initiatives. Specialized services cater to diverse student needs, while extracurricular activities enhance student life. Community events, such as the Welcome Back Event for families and students, foster engagement and support, ensuring a welcoming environment for all. The school's commitment to equity and community involvement underlines its mission to empower students for success."
Philadelphia,Secondary Schools,Mastery Charter Thomas High Campus,https://www.masterycharter.org/thomascampus,(267) 236-0036,"927 Johnston StreetPhiladelphia, PA 19148","Mastery Charter Thomas High Campus, located in South Philadelphia, serves grades 7-12, emphasizing rigorous academic and career preparation. The school offers a range of courses including AP classes, a STEM Honors program, and a dual enrollment initiative for college credits. Students engage in internships, participate in various extracurricular and athletic programs, and have access to specialized services, including emotional support and ESL. Emphasizing equity and personalized learning, Thomas Campus aims to close achievement gaps and supports students in achieving their individual paths to success."
Philadelphia,Community Organization,Lutheran Settlement House,,(215) 426-8610,"1340 Frankford AvenuePhiladelphia, PA 19125","Lutheran Settlement House, located at 1340 Frankford Avenue, Philadelphia, offers comprehensive support services including food access, homeless services, and a Bilingual Domestic Violence Program providing counseling for survivors. They serve older adults with engaging programming, and integrate education throughout their initiatives to help individuals reach their potential. Their community-driven approach fosters healing and growth, emphasizing compassion and personal connection. With a mission rooted in empowerment, Lutheran Settlement House provides vital assistance to individuals and families navigating crises while promoting a sense of dignity and stability."
Adams,College/University,Lutheran Theological Seminary at Gettysburg,https://www.unitedlutheranseminary.edu/,(717) 338-3000,"61 Seminary RidgeGettysburg, PA 17325","The Lutheran Theological Seminary at Gettysburg is part of the United Lutheran Seminary, dedicated to nurturing spiritual leadership and community care. It offers diverse degree programs and non-degree opportunities, focusing on professional and personal development. The seminary emphasizes impactful worship and public advocacy, fostering an inclusive environment as a Reconciling in Christ institution. Students benefit from resources such as libraries, student housing, and vibrant campus life. Events like Kindling Faith bring together alumni and the community for enrichment, and extensive support is available for admissions, financial aid, and student life."
Philadelphia,College/University,Lutheran Theological Seminary at Philadelphia,https://www.unitedlutheranseminary.edu/,(717) 338-3000,"7301 Germantown AvenuePhiladelphia, PA 19119","The Lutheran Theological Seminary at Philadelphia, part of United Lutheran Seminary, offers a variety of resources focused on spiritual leadership, public advocacy, and community care. It provides degree programs, certificates, and non-degree opportunities aimed at equipping individuals for ministry and service. The seminary fosters a supportive environment through events, student life activities, and worship experiences. As a Reconciling in Christ community, it emphasizes inclusivity and social justice. Additionally, ULS offers library resources and opportunities for alumni engagement, enriching faith-based learning and outreach."
Luzerne,College/University,Luzerne County Community College,https://www.luzerne.edu/default.jsp,(800) 377-5222,"521 Trailblazer DriveNanticoke, PA 18634-3899","Luzerne County Community College (LCCC) offers a wide array of mental health support services, including counseling and psychological services to students. The college promotes a healthy academic environment through various programs aimed at enhancing well-being and academic success. LCCC's dedicated faculty and staff provide personalized support, and resources such as workshops and peer support groups are also available. With over 100 academic programs, LCCC serves as both an educational institution and a supportive community, ensuring students have access to essential mental health resources while pursuing their academic goals."
Luzerne,Primary Care Physician Office/Health Center,Luzerne County State Health Center,,(570) 826-2071,"142 Mundy StreetWilkes-Barre, PA 18702","The Luzerne County State Health Center provides comprehensive mental health and developmental services tailored to individual and community needs in Wilkes-Barre, PA. It offers a range of programs, including adult and child mental health services, crisis intervention, and developmental support. Their initiatives include the Luzerne-Wyoming Counties System of Care and suicide prevention efforts. The center also addresses intellectual disabilities through early intervention, adult day services, and employment assistance, working collaboratively with the community to ensure responsive and effective care."
Luzerne,Government Agency,Luzerne/Wyoming County MH/Developmental Services Program,,,"111 North Pennsylvania BoulevardWilkes-Barre, PA 18701","The Luzerne/Wyoming County Mental Health and Developmental Services Program offers comprehensive mental health and intellectual disability services tailored to individual and community needs. Located in Wilkes-Barre, PA, the program offers an array of services including intake, evaluation, crisis intervention, and support coordination. Specialized programs are available for children and adolescents, and adult mental health services. Additional services cover developmental support, employment, and early intervention for infants and toddlers. The program is guided by an Advisory Board and aims to foster community wellness and resilience through active participation and support."
Lehigh,Primary Care Physician Office/Health Center,LVPG Adult and Pediatric Psychiatry,https://www.lvhn.org/locations/lvpg-adult-and-pediatric-psychiatry-1259-cedar-crest,(610) 402-5900,"1259 S Cedar Crest Blvd.Suite 230Allentown, PA 18103-6376","LVPG Adult and Pediatric Psychiatry, located at 1259 S Cedar Crest Blvd, Allentown, PA, offers comprehensive mental health services for individuals across all ages. They provide individual, couples, family, and group therapy, along with medication management and leading-edge treatments such as transcranial magnetic stimulation therapy for treatment-resistant conditions. Their interdisciplinary team consists of board-certified psychiatrists, licensed counselors, and other trained mental health professionals. They specialize in issues including anxiety, depression, and coping with chronic illness. Evening and weekend appointments are available by request and video visits are also offered for added convenience."
Bucks,Primary Care Physician Office/Health Center,LVPG Family Medicine- Richland Township,,,"Health Center at Richland Township320 W Pumping Station Road, Suite 3Quakertown, PA 18951-2345","LVPG Family Medicine-Richland Township offers compassionate, comprehensive care for individuals and families. Located in Quakertown, PA, the facility provides services for a range of medical needs, including preventive care, chronic condition management, women’s health, and minor surgical procedures. Additionally, they offer travel-related services, school physicals, and virtual care options. With a team of board-certified family physicians, they emphasize personalized health management and community support. Same-day appointments and follow-up care after hospitalization are also available, ensuring that patients receive timely and effective treatment."
Monroe,Primary Care Physician Office/Health Center,LVPG Family Medicine- Stroudsburg,,,"205 Applegate RoadSuite 101Stroudsburg, PA 18360-6502","LVPG Family Medicine-Stroudsburg, part of Jefferson Health, offers comprehensive family healthcare services at 205 Applegate Road, Suite 101, Stroudsburg, PA. With hours from 7 AM to 5 PM on weekdays, the facility caters to diverse medical needs, including preventive care, chronic disease management, and pediatric services. Patients can schedule in-person or video appointments, access medical records, and receive tailored health tips. The office emphasizes a patient-centered approach, enhancing family well-being through quality healthcare. For convenience, appointment scheduling and bill payment services are available online."
Monroe,Primary Care Physician Office/Health Center,LVPG Family Medicine- West End,,,"120 Burrus Blvd.Suite 200Brodheadsville, PA 18322","LVPG Family Medicine - West End, part of Jefferson Health, is located at 120 Burrus Blvd., Suite 200 in Brodheadsville, PA. This facility offers a range of family medicine services to support community health, with operating hours Monday through Friday from 7:00 am to 5:00 pm. They provide comprehensive care including preventive services, chronic disease management, and wellness programs. The friendly staff is dedicated to patient-centered care, ensuring compassionate and effective treatment tailored to individual needs."
Luzerne,Primary Care Physician Office/Health Center,LVPG Pediatrics-Hazleton,,,"564 W Broad St.Hazleton, PA 18201","LVPG Pediatrics-Hazleton, located at 564 W Broad St., Hazleton, PA, offers comprehensive pediatric care. Their services include routine physicals, vaccinations, asthma counseling, nutrition guidance, diabetes education, and suicide prevention screening. They are dedicated to providing same-day sick appointments and are affiliated with the region’s only children’s hospital, Lehigh Valley Reilly Children’s Hospital. The facility is staffed by board-certified physicians and nurse practitioners available 24/7. LVPG Pediatrics is proud to have received the 2024 Standard Speaker Reader’s Choice Award for Best Pediatrician, reflecting its commitment to excellence in healthcare for children."
Lycoming,College/University,Lycoming College,https://www.lycoming.edu/,(570) 321-4000,"700 College PlaceWilliamsport, PA 17701","Lycoming College, located in Williamsport, PA, is a nationally-ranked liberal arts institution that prioritizes student success through vibrant academic programs and extensive support services. The college offers counseling services, health resources, and career development opportunities, ensuring holistic student well-being. With a commitment to diversity, 37% of its students are domestic students of color or international. Complete immersion in academics includes internships, study abroad, and research initiatives, with a remarkable 99% post-graduation employment rate. Additionally, Lycoming fosters a supportive community through numerous clubs, organizations, and student engagement activities."
Lycoming,College Counseling Center,Lycoming College Counseling Services,https://www.lycoming.edu/counseling/,(570) 321-4258,"One College PlaceWertz Student CenterWilliamsport, PA 17701-5192","Lycoming College Counseling Services, located in the Wertz Student Center, offers individualized support to students facing emotional and psychological challenges. Services include individual and couple counseling, 24/7 emergency consultations, and assessment for medication referrals. The counseling staff employs a solution-focused, strength-based approach to enhance students' well-being and academic success, ensuring no waiting lists or session limits. The office promotes collaboration across campus divisions to create a supportive network and helps students develop resilience during their college journey. Additionally, a Student of Concern Referral Form allows for community members to report concerns regarding peers."
Lycoming,Primary Care Physician Office/Health Center,Lycoming County State Health Center,,(570) 327-3400,"1000 Commerce Park DriveSuite 109Williamsport, PA 17701","The Lycoming County State Health Center, located in Williamsport, PA, offers essential public health services. It provides mpox vaccines and testing for HIV, STDs, and hepatitis. The center also includes interpretation services for non-English speakers, ensuring accessible care for all community members. With a focus on preventative health measures, the center aims to promote overall well-being and support individuals in managing their health effectively. Facilities cater to diverse needs, contributing to the health improvement of the community."
Lycoming,Private Psychiatry Practice,Lycoming Healthy Living,https://lycominghealthyliving.com/,(570) 322-5051,"1521 Washington BoulevardWilliamsport, PA 17701","Lycoming Healthy Living, located in Williamsport, PA, is a mental health service provider with over 30 years of experience. Founded by Dr. Stephanie Stocki and Dr. John Neil, the practice offers individual, family, and couples therapy, as well as mobile therapy and behavioral consultation. The facility emphasizes compassionate and confidential care to improve the quality of life for clients. Additionally, Lycoming Healthy Living collaborates with Therapeutic Behavioral Health Services to address a range of community mental health needs and accepts major insurance plans, offering telehealth visits for greater accessibility."
Clinton,Community Organization,"Lycoming-Clinton mental health program; Crossroads Counseling, Inc.",https://www.lycomingclintoncassp.com/services  https://lycomingclintonmhida.com/mental-health-overview       http://www.crossroadscounselinginc.com/,(570) 748-2262,"8 North Grove StreetLock Haven, PA 17745","Lycoming-Clinton Mental Health Program, operated by Crossroads Counseling, Inc., offers comprehensive mental health and intellectual disability/autism services for individuals in Lycoming and Clinton Counties. They provide tailored support for adults with serious mental illnesses and children at risk of emotional disturbances, including crisis intervention services available 24/7. The program promotes community integration, allowing individuals with intellectual disabilities and autism to engage actively in their communities. Services include treatment options, information, and referral support for individuals and families, fostering a safe and supportive environment for all. Office hours are Monday to Friday, 8:00 am to 4:30 pm."
Blair,Primary Care Physician Office/Health Center,Lytle Behavioral Health,http://www.lbhonline.org/,(412) 921-7000,"160 Canal StreetCanal Basin Office CentreHollidaysburg, PA 16648","Lytle Behavioral Health, located in Hollidaysburg, PA, offers a range of therapeutic services to help individuals navigate life's challenges. They provide counseling, behavioral modification, anger management, and stress-reduction techniques. Their approach focuses on confidential therapy sessions that promote problem-solving, goal-setting, and personal growth. Lytle Behavioral Health accepts most major medical insurance and offers flexible scheduling with both day and evening appointments available, making it accessible for those seeking support. Their trained therapists are dedicated to helping clients restore balance and improve their overall mental well-being."
Adams,Private Psychiatry Practice,MacGregor Behavioral Health Services,https://www.macgregorbhs.com/,(717) 337-3005,"1400 Proline PlaceSuite 1000Gettysburg, PA 17325","MacGregor Behavioral Health Services, located at 1400 Proline Place, Suite 1000 in Gettysburg, PA, offers personalized therapeutic and forensic services. With over 20 years of experience, their team of doctoral-level clinical psychologists specializes in areas including depression, anxiety, trauma, child and adolescent issues, grief, and eating disorders. They also provide criminal forensic evaluations, such as competency assessments and risk evaluations. Dedicated to supporting individuals through challenging life experiences, MacGregor aims to foster positive, impactful change in their clients' lives."
Lehigh,Community Organization,Malvern Community Health Services,https://malvernchs.com,(610) 266-2656,"881  Marcon Blvd.Allentown, PA 18109","Malvern Community Health Services, located in Allentown, PA, offers compassionate, evidence-based behavioral health support for children, adolescents, adults, couples, and families across southeastern Pennsylvania. Their services include Intensive Behavioral Health Services for serious emotional issues, Outpatient Services for various life challenges, and a School-Based Outpatient Program that provides mental health support within educational settings. Committed to individualized, trauma-informed care, Malvern focuses on fostering meaningful relationships and helping clients navigate life's difficulties with strength and resilience."
Berks,Community Organization,Malvern Community Health Services,https://malvernchs.com/,(610) 375-7454,"144 N 6th StreetReading, PA 19601","Malvern Community Health Services, located at 144 N 6th Street in Reading, PA, offers comprehensive and compassionate behavioral health services for children, adolescents, adults, and families throughout southeastern Pennsylvania. Their programs include Intensive Behavioral Health Services for individuals facing serious emotional challenges, Outpatient Services for various age groups, and a School-Based Outpatient Program that provides support within educational settings. With a focus on evidence-based and trauma-informed care, Malvern is dedicated to fostering meaningful relationships and promoting overall mental wellness."
Westmoreland,Secondary Schools,Ligonier Valley High School,,,"40 Springer RoadLigonier, PA 15658","Ligonier Valley High School, located in Ligonier, Pennsylvania, serves around 495 students in grades 9-12. Established in 1886, it focuses on promoting pride and ambition. Beyond academics, the school offers extensive extracurricular activities, including athletic programs in various sports, supported by a dedicated student section known as The Herd. Facilities include the Alvin P. Carey building with a full auditorium, auxiliary gym, and Standard Bank Stadium, which accommodates soccer, track, and football. Vocational opportunities are available through the Eastern Westmoreland Career and Technology Center for upperclassmen."
Westmoreland,Secondary Schools,Ligonier Valley Middle School,,(724) 238-6412,"536 Bell StreetLigonier, PA 15658","Ligonier Valley Middle School, part of the Ligonier Valley School District in Pennsylvania, prioritizes mental health through a comprehensive support system. It focuses on prevention and education, offering training sessions for educators, parents, and the community to identify mental health issues and manage challenging behaviors. The district's Mental Health Crisis Response Plan emphasizes suicide awareness and prevention, detailing policies for student safety. Resources include the National Suicide Prevention Lifeline and local support organizations like The Ray of Hope. Additionally, a Mental Health Education Series provides workshops for parents on various topics related to child development and well-being."
Westmoreland,Secondary Schools,Ligonier Valley School District,https://lvsd.edlioschool.com/,(724) 238-5696,"339 West Main StreetLigonier, PA 15658","Ligonier Valley School District, located in Ligonier, PA, is dedicated to maximizing individual potential through comprehensive educational services. The district offers mental health services, special education, and support for homeless learners. It emphasizes a safe environment with a school resource officer and various health services. With a commitment to personalized education, the district features dual-enrollment classes and vocational opportunities, fostering academic achievement and industry certifications for students. Additional resources include food services, transportation, and extensive extracurricular activities, ensuring a well-rounded experience for all students."
Philadelphia,PHP/IOP,Limitless Recovery IOP,,(215) 309-5844,"1206 E Palmer StreetPhiladelphia, PA 19125","Limitless Recovery IOP, located at 1206 E Palmer Street, Philadelphia, PA, offers comprehensive outpatient treatment for individuals recovering from drug and alcohol addiction. This program emphasizes a holistic approach, integrating mental health services with physical wellness activities such as yoga, mindfulness, nutrition, and fitness. Staffed by experienced professionals who understand recovery, Limitless Recovery fosters a supportive, family-like environment focused on personalized care. The facility also provides specialized programs for first responders and veterans. Reviews highlight the program’s effectiveness and the compassion of its counselors, making it a highly recommended option for those seeking recovery support."
Allegheny,Parent Organization,Lincoln Elementary School,,(412) 344-2147,"2 Ralston PlacePittsburgh, PA 15216","Lincoln Elementary School, located in Pittsburgh, PA, offers a supportive environment for students and families. The school provides various services including school counseling, food service, health services, and student services. It promotes positive behavior through the Awesome Abe PBIS program and encourages parental involvement through a dedicated PTA. Academic resources like remote learning options are also available. Regular newsletters keep families informed about school news and events, fostering a community-focused approach to education and mental health support."
Chester,College/University,Lincoln University,https://www.lincoln.edu/,(484) 365-8000,"1570 Baltimore PikeLincoln University, PA 19352","Lincoln University, the nation’s first degree-granting HBCU, provides a rich educational environment for over 2,200 diverse students. With more than 35 undergraduate and 4 graduate programs, the university emphasizes hands-on experience and personalized support from dedicated faculty. Students are encouraged to engage in health and wellness initiatives, clubs, organizations, and a vibrant athletics program, enriching campus life. Lincoln fosters a culture of innovation, empowering students to graduate ready to lead and make meaningful contributions to their communities and beyond."
Northumberland,Secondary Schools,Line Mountain High School,https://www.linemountain.com/schools/highschool/,(570) 758-2011,"187 Line Mountain RoadHerndon, PA 17830","Line Mountain High School, located at 187 Line Mountain Road in Herndon, PA, offers a robust support system with a focus on mental health and crisis management through its Counseling Services and Mental Health Department. The school promotes student wellness via programs like Youth in Philanthropy, helping students engage with community support and develop social-emotional skills. Resources include digital citizenship education aimed at empowering responsible technology use. Line Mountain also emphasizes a holistic approach to student development through various extracurricular activities and initiatives that foster positive peer interactions and self-awareness."
